gene_id	gene_type	position	description	gene_symbol
mmu:15331	CDS	4:complement(133692050..133695302)	Hmgn2, HMG-17, Hmg17; high mobility group nucleosomal binding domain 2	Hmgn2
mmu:67422	CDS	4:complement(133696339..133728267)	Dhdds, 3222401G21Rik, CIT, DS, HDS, cis-IPTase; dehydrodolichyl diphosphate synthase	Dhdds
mmu:83557	CDS	4:complement(133730641..133746504)	Lin28a, Gm10299, Lin-28, Lin28, Tex17, lin-28A; lin-28 homolog A	Lin28a
mmu:230806	CDS	4:133788042..133819815	Crybg2, Aim1l; crystallin beta-gamma domain containing 2	Crybg2
mmu:23833	CDS	4:complement(133820849..133822384)	Cd52, B7, B7-Ag, CAMPATH-1, CLS1, MB7; CD52 antigen	Cd52
mmu:67586	CDS	4:133829811..133854095	Ubxn11, 4930506L07Rik, D4Bwg1540e, Soc, Soci, Ubxd5; UBX domain protein 11	Ubxn11
mmu:73723	CDS	4:complement(133854717..133856044)	Sh3bgrl3, 1110004L05Rik; SH3 domain binding glutamic acid-rich protein-like 3	Sh3bgrl3
mmu:70012	CDS	4:complement(133857169..133914420)	Cep85, 2410030J07Rik, Ccdc21; centrosomal protein 85	Cep85
mmu:665186	CDS	4:complement(133918115..133930315)	Zpld2, EG665186, Gm7534; zona pellucida like domain containing 2	Zpld2
mmu:329954	CDS	4:complement(133939276..133954743)	Catsper4, 4933412L05; cation channel, sperm associated 4	Catsper4
mmu:194231	CDS	4:complement(133955352..133965737)	Cnksr1; connector enhancer of kinase suppressor of Ras 1	Cnksr1
mmu:68040	CDS	4:complement(133970617..133972902)	Zfp593, 3110024A21Rik, E130106C14Rik, ZNF593; zinc finger protein 593	Zfp593
mmu:115489946	CDS	4:133974259..133977413	Gm30191, C4H1orf232; predicted gene, 30191	Gm30191
mmu:72690	CDS	4:complement(133978413..133993528)	Fam110d, 2810043G13Rik, Grrp1; family with sequence similarity 110, member D	Fam110d
mmu:230809	CDS	4:complement(134002313..134015157)	Pdik1l, stk35l2; PDLIM1 interacting kinase 1 like	Pdik1l
mmu:433766	CDS	4:134042431..134056940	Trim63, MuRF1, RF1, Rnf28; tripartite motif-containing 63	Trim63
mmu:230810	CDS	4:134070357..134081795	Slc30a2, ZnT-2, Znt2; solute carrier family 30 (zinc transporter), member 2	Slc30a2
mmu:56219	CDS	4:complement(134083684..134099893)	Extl1, D430033M16Rik; exostosin-like glycosyltransferase 1	Extl1
mmu:100163	CDS	4:134123631..134154723	Pafah2, 2310074E22Rik; platelet-activating factor acetylhydrolase 2	Pafah2
mmu:16765	CDS	4:134195631..134201154	Stmn1, 19k, Lag, Lap18, Op18, P18, P19, Pig, Pp17, Pp18, Pp19, Pr22, Smn; stathmin 1	Stmn1
mmu:71904	CDS	4:134224315..134237548	Paqr7, 2310021M12Rik, Mpra, PGLP, mPR, mPR_alpha; progestin and adipoQ receptor family member VII	Paqr7
mmu:69885	CDS	4:134238310..134251233	Aunip, 2610002D18Rik, Clhc1; aurora kinase A and ninein interacting protein	Aunip
mmu:76824	CDS	4:complement(134252866..134262698)	Mtfr1l, 2410166I05Rik, Fam54b; mitochondrial fission regulator 1-like	Mtfr1l
mmu:74777	CDS	4:complement(134265203..134279477)	Selenon, 1110019I12Rik, SelN, Sepn1; selenoprotein N	Selenon
mmu:230815	CDS	4:complement(134289001..134432987)	Man1c1; mannosidase, alpha, class 1C, member 1	Man1c1
mmu:102465216	miRNA	4:complement(134295034..134295162)	Mir6403, Gm27992, mmu-mir-6403; microRNA 6403	Mir6403
mmu:100017	CDS	4:complement(134468865..134495342)	Ldlrap1, ARH2, Arh, Arh1, FHCB1, FHCB2; low density lipoprotein receptor adaptor protein 1	Ldlrap1
mmu:66146	CDS	4:complement(134530070..134581242)	Maco1, 1110007C24Rik, 9230118A01Rik, C61, Tmem57; macoilin 1	Maco1
mmu:19746	CDS	4:134591875..134623483	Rhd, Rh, Rhced, Rhl1; Rh blood group, D antigen	Rhd
mmu:71817	CDS	4:complement(134625160..134642307)	Tmem50a, 3200001F09Rik, CAM, Smp1; transmembrane protein 50A	Tmem50a
mmu:27981	CDS	4:134650936..134654681	Rsrp1, 2700043I21Rik, D4Ucla2, D4Wsu53e; arginine/serine rich protein 1	Rsrp1
mmu:68592	CDS	4:134658291..134664848	Syf2, 1110018L13Rik, Cbpin, D4Bwg1551e, Gcipip, Ntc31, mp29, p29; SYF2 homolog, RNA splicing factor (S. cerevisiae)	Syf2
mmu:12399	CDS	4:134847956..134905301	Runx3, AML2, Cbfa3, Pebp2a3, Rx3; runt related transcription factor 3	Runx3
mmu:29876	CDS	4:complement(134941280..135000071)	Clic4, D0Jmb3, TU-74, mc3s5, mtCLIC; chloride intracellular channel 4	Clic4
mmu:51796	CDS	4:complement(135047795..135080787)	Srrm1, POP101, Srm160; serine/arginine repetitive matrix 1	Srrm1
mmu:230822	CDS	4:complement(135096887..135125551)	Ncmap, A330049M08Rik, Mp11; noncompact myelin associated protein	Ncmap
mmu:53902	CDS	4:complement(135139619..135161154)	Rcan3, Csp3, Dscr1l2; regulator of calcineurin 3	Rcan3
mmu:735285	miRNA	4:complement(135143866..135143944)	Mir700, Mirn700, mir-700, mmu-mir-700; microRNA 700	Mir700
mmu:74552	CDS	4:complement(135173454..135222283)	Nipal3, 9130020G22Rik, Npal3; NIPA-like domain containing 3	Nipal3
mmu:78806	CDS	4:135221971..135265015	Stpg1, 4930403G18Rik, 4930555I21Rik, Mapo2; sperm tail PG rich repeat containing 1	Stpg1
mmu:230824	CDS	4:complement(135269199..135300943)	Grhl3, Get1, Som, Tfcp2l4, ct; grainyhead like transcription factor 3	Grhl3
mmu:242700	CDS	4:135413513..135435492	Ifnlr1, CRF2-12, Il28ra; interferon lambda receptor 1	Ifnlr1
mmu:230828	CDS	4:135455470..135482694	Il22ra1, 9130219A07Rik, IL-22R, Il22r; interleukin 22 receptor, alpha 1	Il22ra1
mmu:242702	CDS	4:135486688..135542882	Myom3, 8430427K15Rik, Gm434; myomesin family, member 3	Myom3
mmu:14105	CDS	4:135582454..135597219	Srsf10, FUSIP2, Fusip1, NSSR1, NSSR2, Nssr, SRrp40, Sfrs13a, Srsf13a, TASR, TASR1, TASR2; serine and arginine-rich splicing factor 10	Srsf10
mmu:52830	CDS	4:complement(135598229..135601157)	Pnrc2, 0610011E17Rik, D4Bwg0593e; proline-rich nuclear receptor coactivator 2	Pnrc2
mmu:12802	CDS	4:135622500..135647530	Cnr2, CB-2, CB2, CB2-R; cannabinoid receptor 2	Cnr2
mmu:71665	CDS	4:135648037..135667611	Fuca1, 0610006A03Rik, 9530055J05Rik, Afuc, Fuca; fucosidase, alpha-L- 1, tissue	Fuca1
mmu:15356	CDS	4:135673776..135689926	Hmgcl, HL; 3-hydroxy-3-methylglutaryl-Coenzyme A lyase	Hmgcl
mmu:74246	CDS	4:135690550..135695489	Gale, 2310002A12Rik; galactose-4-epimerase, UDP	Gale
mmu:26394	CDS	4:complement(135695541..135700954)	Lypla2, LysoII; lysophospholipase 2	Lypla2
mmu:66193	CDS	4:complement(135702913..135714555)	Pithd1, 1110049F12Rik, Trp26; PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1	Pithd1
mmu:27224	CDS	4:complement(135730681..135748960)	Eloa, 110kDa, Tceb3, Tceb3a; elongin A	Eloa
mmu:67025	CDS	4:complement(135776665..135780704)	Rpl11, 2010203J19Rik; ribosomal protein L11	Rpl11
mmu:15903	CDS	4:135871133..135872703	Id3, Hlh462, Idb3, bHLHb25; inhibitor of DNA binding 3	Id3
mmu:242705	CDS	4:135899585..135923368	E2f2, E2F-2; E2F transcription factor 2	E2f2
mmu:230837	CDS	4:135933662..135973888	Asap3, 9430088F20Rik, Ddefl1, Gm140, UPLC1; ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	Asap3
mmu:21401	CDS	4:135975253..136002214	Tcea3, S-II, SII-K1; transcription elongation factor A (SII), 3	Tcea3
mmu:22704	CDS	4:136011479..136021163	Zfp46, Mlz-4, Zfp-46, Znf436; zinc finger protein 46	Zfp46
mmu:74326	CDS	4:136038230..136086758	Hnrnpr, 2610003J05Rik, 2610528B01Rik, Hnrpr; heterogeneous nuclear ribonucleoprotein R	Hnrnpr
mmu:15552	CDS	4:136150835..136171716	Htr1d, 5-HT-1D, 5-HT1D, Gpcr14, Htr1db; 5-hydroxytryptamine (serotonin) receptor 1D	Htr1d
mmu:269593	CDS	4:136189892..136282036	Luzp1, 2700072H04Rik, Luzp, mFLJ00226; leucine zipper protein 1	Luzp1
mmu:99982	CDS	4:complement(136277844..136330127)	Kdm1a, 1810043O07Rik, Aof2, D4Ertd478e, Kdm1, Lsd1, mKIAA0601; lysine (K)-specific demethylase 1A	Kdm1a
mmu:67663	CDS	4:136334313..136340590	Tex46, 4930549C01Rik; testis expressed 46	Tex46
mmu:242707	CDS	4:136349952..136369385	Lactbl1; lactamase, beta-like 1	Lactbl1
mmu:13844	CDS	4:complement(136374850..136563637)	Ephb2, Cek5, Drt, ETECK, Erk, Hek5, Nuk, Prkm5, Qek5, Sek3, Tyro5; Eph receptor B2	Ephb2
mmu:12260	CDS	4:complement(136607437..136613511)	C1qb, Adia; complement component 1, q subcomponent, beta polypeptide	C1qb
mmu:12262	CDS	4:complement(136617115..136620225)	C1qc, Adib, C1qg, Ciqc; complement component 1, q subcomponent, C chain	C1qc
mmu:12259	CDS	4:complement(136623227..136626155)	C1qa, Adic, C1q; complement component 1, q subcomponent, alpha polypeptide	C1qa
mmu:13842	CDS	4:complement(136656729..136684170)	Epha8, Eek, Hek3, mKIAA1459; Eph receptor A8	Epha8
mmu:230848	CDS	4:complement(136707043..136776129)	Zbtb40, C230087D24, Gm571, mKIAA0478; zinc finger and BTB domain containing 40	Zbtb40
mmu:115486258	ncRNA	4:136752995..136753123	Gm23834; predicted gene, 23834	Gm23834
mmu:22417	CDS	4:137004946..137026812	Wnt4, Wnt-4; wingless-type MMTV integration site family, member 4	Wnt4
mmu:12540	CDS	4:complement(137047011..137085007)	Cdc42; cell division cycle 42	Cdc42
mmu:242711	CDS	4:complement(137128865..137137102)	Cela3a, Gm13011; chymotrypsin-like elastase family, member 3A	Cela3a
mmu:67868	CDS	4:complement(137148319..137157831)	Cela3b, 0910001F22Rik, 2310074F01Rik, Ela3, Ela3b; chymotrypsin-like elastase family, member 3B	Cela3b
mmu:69380	CDS	4:137180607..137182772	1700013G24Rik; RIKEN cDNA 1700013G24 gene	1700013G24Rik
mmu:15530	CDS	4:137196062..137297941	Hspg2, HSPG, Pcn, Plc, per; perlecan (heparan sulfate proteoglycan 2)	Hspg2
mmu:102465616	miRNA	4:137265597..137265681	Mir7018, Gm27606, mmu-mir-7018; microRNA 7018	Mir7018
mmu:435811	CDS	4:complement(137298185..137309429)	Ldlrad2; low density lipoprotein receptor class A domain containing 2	Ldlrad2
mmu:170707	CDS	4:137321079..137385842	Usp48, 2810449C13Rik, D330022K21Rik, Usp31; ubiquitin specific peptidase 48	Usp48
mmu:110351	CDS	4:137391549..137457172	Rap1gap, 1300019I11Rik, 2310004O14Rik, ARPP-90, Gap, Rap1GAP1, Rap1ga1; Rap1 GTPase-activating protein	Rap1gap
mmu:11647	CDS	4:complement(137469042..137523695)	Alpl, ALP, APTNAP, Akp-2, Akp2, TNAP, TNSALP; alkaline phosphatase, liver/bone/kidney	Alpl
mmu:230857	CDS	4:137589548..137692540	Ece1, ECE-1, ECE-1a, ECE-1b, ECE-1c1, ECE-1d; endothelin converting enzyme 1	Ece1
mmu:230861	CDS	4:137719090..137934397	Eif4g3, 1500002J22Rik, 4930523M17Rik, G1-419-52, Gm32394, eIF4GII, repro8; eukaryotic translation initiation factor 4 gamma, 3	Eif4g3
mmu:102466907	miRNA	4:137890520..137890603	Mir6399, Gm27667, mir-6399, mmu-mir-6399; microRNA 6399	Mir6399
mmu:15441	CDS	4:137943781..137971994	Hp1bp3, Hp1bp74; heterochromatin protein 1, binding protein 3	Hp1bp3
mmu:230863	CDS	4:137977722..137988279	Sh2d5; SH2 domain containing 5	Sh2d5
mmu:118568720	CDS	4:complement(137988332..137989815)	Gm54278; predicted gene, 54278	Gm54278
mmu:16559	CDS	4:137989562..138029284	Kif17, 5930435E01Rik, Kif17b, mKIAA1405; kinesin family member 17	Kif17
mmu:13200	CDS	4:138032049..138039930	Ddost; dolichyl-di-phosphooligosaccharide-protein glycotransferase	Ddost
mmu:68943	CDS	4:complement(138040718..138053631)	Pink1, 1190006F07Rik, BRPK, mFLJ00387; PTEN induced putative kinase 1	Pink1
mmu:102466788	miRNA	4:complement(138043443..138043511)	Mir7019, Gm27947, mmu-mir-7019; microRNA 7019	Mir7019
mmu:72269	CDS	4:complement(138065839..138095623)	Cda, 2210401N16Rik; cytidine deaminase	Cda
mmu:625638	CDS	4:complement(138121403..138123769)	Fam43b; family with sequence similarity 43, member B	Fam43b
mmu:68350	CDS	4:138160239..138169576	Mul1, 0610009K11Rik, Gide; mitochondrial ubiquitin ligase activator of NFKB 1	Mul1
mmu:66259	CDS	4:138182459..138187437	Camk2n1, 1810006K23Rik; calcium/calmodulin-dependent protein kinase II inhibitor 1	Camk2n1
mmu:75718	CDS	4:complement(138291540..138363303)	Vwa5b1, 4931403E03Rik; von Willebrand factor A domain containing 5B1	Vwa5b1
mmu:212190	CDS	4:complement(138437148..138465749)	Ubxn10, 5730509E04Rik, A830047D02, Ubxd3; UBX domain protein 10	Ubxn10
mmu:18781	CDS	4:138452636..138471886	Pla2g2c; phospholipase A2, group IIC	Pla2g2c
mmu:26971	CDS	4:complement(138477842..138484932)	Pla2g2f, GIIFsPLA2, sPLA2-IIF; phospholipase A2, group IIF	Pla2g2f
mmu:18782	CDS	4:138503046..138509363	Pla2g2d, GIID, GIID_sPLA2, PLA2IID, Splash, mGIID, sPLA2-IID; phospholipase A2, group IID	Pla2g2d
mmu:18784	CDS	4:complement(138526558..138590784)	Pla2g5, PLA2, PLA2-10, sPLA2; phospholipase A2, group V	Pla2g5
mmu:18780	CDS	4:138559168..138562500	Pla2g2a, EF, Mom1, Pla2, sPLA2, sPla2-IIA; phospholipase A2, group IIA (platelets, synovial fluid)	Pla2g2a
mmu:105734733	CDS	4:complement(138598303..138601275)	Gm13030; predicted gene 13030	Gm13030
mmu:26970	CDS	4:138605253..138610125	Pla2g2e; phospholipase A2, group IIE	Pla2g2e
mmu:73162	CDS	4:complement(138618374..138641322)	Otud3, 3110030K17Rik; OTU domain containing 3	Otud3
mmu:66825	CDS	4:138694430..138695676	Rnf186, 9130020G10Rik; ring finger protein 186	Rnf186
mmu:77056	CDS	4:138699588..138786484	Tmco4, 4632413C14Rik; transmembrane and coiled-coil domains 4	Tmco4
mmu:15565	CDS	4:complement(138787017..138802881)	Htr6, 5-HT6; 5-hydroxytryptamine (serotonin) receptor 6	Htr6
mmu:17965	CDS	4:complement(138809602..138820437)	Nbl1, D4H1S1733E, DAN, Dana, NO3; NBL1, DAN family BMP antagonist	Nbl1
mmu:433771	CDS	4:complement(138829125..138858667)	Micos10, 2310028O11Rik, Minos1; mitochondrial contact site and cristae organizing system subunit 10	Micos10
mmu:12345	CDS	4:138920210..139019131	Capzb, 1700120C01Rik, CPB1, CPB2, CPbeat2, CPbeta1, CPbeta2, Cappb1; capping actin protein of muscle Z-line subunit beta	Capzb
mmu:212555	CDS	4:complement(139021341..139038025)	Slc66a1, Pqlc2; solute carrier family 66 member 1	Slc66a1
mmu:110198	CDS	4:139038005..139046097	Akr7a5, 0610025K21Rik, Afar, Afar1, Akr7a2; aldo-keto reductase family 7, member A5	Akr7a5
mmu:69902	CDS	4:complement(139074751..139079887)	Mrto4, 2610012O22Rik, Mg684, Mrt4; mRNA turnover 4, ribosome maturation factor	Mrto4
mmu:230866	CDS	4:139079898..139106046	Emc1, 2700016F22Rik; ER membrane protein complex subunit 1	Emc1
mmu:69116	CDS	4:139107970..139216844	Ubr4, 1810009A16Rik, A930005E13Rik, D930005K06Rik, Gm1032, Gm1666, RBAF600, Zubr1, mKIAA0462, p600; ubiquitin protein ligase E3 component n-recognin 4	Ubr4
mmu:212632	CDS	4:139257859..139347693	Iffo2; intermediate filament family orphan 2	Iffo2
mmu:212647	CDS	4:139348404..139377002	Aldh4a1, A930035F14Rik, Ahd-1, Ahd1, Aldh4, Aldh5a1, E330022C09, P5cd, P5cdh, P5cdhl, P5cdhs, Ssdh1; aldehyde dehydrogenase 4 family, member A1	Aldh4a1
mmu:102465617	miRNA	4:139371353..139371422	Mir7020, Gm27759, mmu-mir-7020; microRNA 7020	Mir7020
mmu:83770	CDS	4:139380849..139397591	Tas1r2, Gpr71, T1r2, TR2; taste receptor, type 1, member 2	Tas1r2
mmu:18509	CDS	4:complement(139464357..139560841)	Pax7, Pax-7; paired box 7	Pax7
mmu:242721	CDS	4:complement(139689484..139695337)	Klhdc7a, B230308G19Rik; kelch domain containing 7A	Klhdc7a
mmu:100316727	miRNA	4:complement(139694837..139694931)	Mir2139, mmu-mir-2139; microRNA 2139	Mir2139
mmu:230868	CDS	4:complement(139754163..139974294)	Igsf21, Gm141; immunoglobulin superfamily, member 21	Igsf21
mmu:72754	CDS	4:complement(140241796..140393318)	Arhgef10l, 2810441C07Rik; Rho guanine nucleotide exchange factor 10-like	Arhgef10l
mmu:108911	CDS	4:140427308..140450531	Rcc2, 2610510H01Rik, 2610529N02Rik, Td60, mKIAA1470; regulator of chromosome condensation 2	Rcc2
mmu:242726	CDS	4:complement(140454666..140469954)	Padi6, P75, Pad6, Padi5, ePAD; peptidyl arginine deiminase, type VI	Padi6
mmu:18602	CDS	4:complement(140472819..140501514)	Padi4, Pad4, Pdi4; peptidyl arginine deiminase, type IV	Padi4
mmu:18601	CDS	4:complement(140512680..140537959)	Padi3, Pad3, Pdi3, mKIAA4171; peptidyl arginine deiminase, type III	Padi3
mmu:18599	CDS	4:complement(140540292..140573089)	Padi1, Pdi1; peptidyl arginine deiminase, type I	Padi1
mmu:18600	CDS	4:140633685..140679897	Padi2, Pdi, Pdi2, mKIAA0994; peptidyl arginine deiminase, type II	Padi2
mmu:67680	CDS	4:140688582..140706509	Sdhb, 0710008N11Rik; succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Sdhb
mmu:74772	CDS	4:140711812..140734641	Atp13a2, 1110012E06Rik; ATPase type 13A2	Atp13a2
mmu:17150	CDS	4:140737735..140743284	Mfap2, MAGP-1, MFAP-2, Magp, Magp1; microfibrillar-associated protein 2	Mfap2
mmu:230872	CDS	4:complement(140743948..140787927)	Crocc; ciliary rootlet coiled-coil, rootletin	Crocc
mmu:66147	CDS	4:complement(140793823..140805672)	Necap2, 1110005F07Rik, NECAP-2; NECAP endocytosis associated 2	Necap2
mmu:329972	CDS	4:140815631..140840071	Spata21, 4933414G08; spermatogenesis associated 21	Spata21
mmu:213491	CDS	4:complement(140840326..140867110)	Szrd1, 1110022I03, D4Ertd22e; SUZ RNA binding domain containing 1	Szrd1
mmu:213499	CDS	4:140875216..140931373	Fbxo42, 6720460I06Rik, mKIAA1332; F-box protein 42	Fbxo42
mmu:76166	CDS	4:140941249..140947425	Cplane2, 6330545A04Rik, Gm723, Rsg1, b2b2804Clo, b2b2827Clo; ciliogenesis and planar polarity effector 2	Cplane2
mmu:213649	CDS	4:140966916..140985226	Arhgef19, 6030432F23, 6430573B13Rik, WGEF; Rho guanine nucleotide exchange factor 19	Arhgef19
mmu:13836	CDS	4:141028532..141056695	Epha2, Eck, Myk2, Sek-2, Sek2; Eph receptor A2	Epha2
mmu:277743	CDS	4:141095503..141111485	Fam131c, Gm693; family with sequence similarity 131, member C	Fam131c
mmu:12733	CDS	4:complement(141111922..141126017)	Clcnka, CLC-K1, Clcnk1; chloride channel, voltage-sensitive Ka	Clcnka
mmu:56365	CDS	4:complement(141131668..141143440)	Clcnkb, CLCKB, Clc-Ka, Clck2, Clcnk1l, Clcnk2; chloride channel, voltage-sensitive Kb	Clcnkb
mmu:29818	CDS	4:141148090..141152621	Hspb7, 27kDa, Hsp25-2, cvHsp; heat shock protein family, member 7 (cardiovascular)	Hspb7
mmu:277744	CDS	4:complement(141159983..141163416)	Srarp, Gm694; steroid receptor associated and regulated protein	Srarp
mmu:105247198	CDS	4:complement(141171297..141176225)	Gm42337; predicted gene, 42337	Gm42337
mmu:22642	CDS	4:141171984..141195248	Zbtb17, Lp-1, Miz1, Zfp100, mZ13; zinc finger and BTB domain containing 17	Zbtb17
mmu:56381	CDS	4:complement(141195199..141265955)	Spen, Mint, mKIAA0929; spen family transcription repressor	Spen
mmu:74202	CDS	4:complement(141303373..141333351)	Fblim1, 2410043F08Rik, Cal, Fblp1, Gt10, migfilin, migfilin(s); filamin binding LIM protein 1	Fblim1
mmu:213989	CDS	4:complement(141341544..141345944)	Tmem82; transmembrane protein 82	Tmem82
mmu:384071	CDS	4:complement(141346130..141351202)	Slc25a34, Gm1369; solute carrier family 25, member 34	Slc25a34
mmu:69582	CDS	4:complement(141353043..141391457)	Plekhm2, 2310034J19Rik, mKIAA0842; pleckstrin homology domain containing, family M (with RUN domain) member 2	Plekhm2
mmu:118568702	CDS	4:141391208..141399053	Gm54266; predicted gene, 54266	Gm54266
mmu:69994	CDS	4:complement(141410874..141413027)	Rsc1a1, 1700027M01Rik, Rs1; regulatory solute carrier protein, family 1, member 1	Rsc1a1
mmu:68817	CDS	4:complement(141410874..141450730)	Ddi2, 1110056G13Rik, 1700027M01Rik, 9130022E05Rik; DNA-damage inducible protein 2	Ddi2
mmu:75986	CDS	4:141473986..141486574	Agmat, 5033405N08Rik; agmatinase	Agmat
mmu:214063	CDS	4:complement(141487498..141518255)	Dnajc16, 2900037O03Rik, 4732437J24Rik, D030060M24, ERdj8, mKIAA0962; DnaJ heat shock protein family (Hsp40) member C16	Dnajc16
mmu:12371	CDS	4:141520923..141543289	Casp9, APAF-3, CASP-9, Caspase-9, ICE-LAP6, Mch6; caspase 9	Casp9
mmu:13706	CDS	4:complement(141542265..141553316)	Cela2a, Ela-2, Ela2, Ela2a; chymotrypsin-like elastase family, member 2A	Cela2a
mmu:76701	CDS	4:complement(141565550..141573598)	Ctrc, 1810044E12Rik, caldecrin; chymotrypsin C	Ctrc
mmu:27984	CDS	4:complement(141585453..141602231)	Efhd2, 2600015J22Rik, D4Wsu27e; EF hand domain containing 2	Efhd2
mmu:329977	CDS	4:complement(141617741..141742438)	Fhad1, 2900090M10Rik, B230311F11; forkhead-associated phosphopeptide binding domain 1	Fhad1
mmu:214359	CDS	4:complement(141758301..141811985)	Tmem51; transmembrane protein 51	Tmem51
mmu:71529	CDS	4:complement(141829701..142801231)	Kazn, 2310007B04Rik, 9030409G11Rik, Kaz, Kazrin; kazrin, periplakin interacting protein	Kazn
mmu:110593	CDS	4:complement(142833961..142939560)	Prdm2, 4833427P12Rik, E330024L24Rik, Gm1033, Gm19732, KMT8, Riz, Riz1, Znfpr1c1; PR domain containing 2, with ZNF domain	Prdm2
mmu:102465618	miRNA	4:complement(142862670..142862732)	Mir7021, mmu-mir-7021; microRNA 7021	Mir7021
mmu:115486273	ncRNA	4:142930635..142930766	Gm22039; predicted gene, 22039	Gm22039
mmu:14726	CDS	4:complement(142993979..143026134)	Pdpn, E11, Gp38, OTS-8, RANDAM-2, T1-alpha, T1a, T1alpha; podoplanin	Pdpn
mmu:242735	CDS	4:143076242..143097602	Lrrc38, A230053A07Rik; leucine rich repeat containing 38	Lrrc38
mmu:83491	CDS	4:143120889..143126730	Pramel1; PRAME like 1	Pramel1
mmu:242736	CDS	4:143137457..143147661	Pramel12, 4732496O08Rik, Pramef8; PRAME like 12	Pramel12
mmu:242737	CDS	4:complement(143163734..143176894)	Oog4, E330017M15; oogenesin 4	Oog4
mmu:545693	CDS	4:143237913..143244401	Gm13043; predicted gene 13043	Gm13043
mmu:100040854	CDS	4:143253632..143260148	Gm13040; predicted gene 13040	Gm13040
mmu:100040861	CDS	4:143278270..143284806	Gm13057; predicted gene 13057	Gm13057
mmu:329986	CDS	4:143294037..143300368	Pramel20; PRAME like 20	Pramel20
mmu:279185	CDS	4:143341573..143345308	Pramel21, Gm13083; PRAME like 21	Pramel21
mmu:277668	CDS	4:complement(143380330..143387168)	Pramel22, Gm13088; PRAME like 22	Pramel22
mmu:277667	CDS	4:complement(143423057..143429281)	Pramel23, Gm13089; PRAME like 23	Pramel23
mmu:277666	CDS	4:143446021..143455728	Pramel24, Gm13078; PRAME like 24	Pramel24
mmu:194227	CDS	4:143515904..143522155	Pramel25, Gm13023, MGC:91194; PRAME like 25	Pramel25
mmu:381569	CDS	4:complement(143535817..143542663)	Pramel26, Gm13084; PRAME like 26	Pramel26
mmu:194225	CDS	4:143573067..143580207	Pramel27, E330017N17, Gm13103; PRAME like 27	Pramel27
mmu:195555	CDS	4:complement(143620807..143626950)	Pramel11, Gm13099, Pramef6; PRAME like 11	Pramel11
mmu:329984	CDS	4:complement(143674746..143686321)	Pramel16, Gm13109, Pramef25; PRAME like 16	Pramel16
mmu:626943	CDS	4:complement(143717697..143720939)	Pramel14, Gm13107, Pramef17; PRAME like 14	Pramel14
mmu:347710	CDS	4:143785695..143795897	Pramel4, D4Ertd792e; PRAME like 4	Pramel4
mmu:100041077	CDS	4:143826450..143836671	Pramel61, Gm13102; PRAME like 60	Pramel61
mmu:100012	CDS	4:complement(143884126..143889221)	Oog3; oogenesin 3	Oog3
mmu:381570	CDS	4:143917287..143923504	Oog2; oogenesin 2	Oog2
mmu:97187	CDS	4:complement(143933332..143939587)	Pramel29; PRAME like 29	Pramel29
mmu:384077	CDS	4:complement(143997203..144007036)	Pramel5; PRAME like 5	Pramel5
mmu:626995	CDS	4:144056819..144060035	Pramel30, Gm13128; PRAME like 30	Pramel30
mmu:433779	CDS	4:144084534..144090989	Pramel31, Gm13119; PRAME like 31	Pramel31
mmu:627009	CDS	4:complement(144099330..144104503)	Pramel15, EG627009, Gm13125, Pramef20; PRAME like 15	Pramel15
mmu:77632	CDS	4:complement(144118244..144135037)	Pramel13, 4930569K13Rik, Pramef12; PRAME like 13	Pramel13
mmu:69364	CDS	4:complement(144144759..144165363)	Cfap107, 1700012P22Rik; cilia and flagella associated protein 107	Cfap107
mmu:230883	CDS	4:complement(144180341..144190326)	Aadacl3, Gm435; arylacetamide deacetylase like 3	Aadacl3
mmu:381572	CDS	4:144246392..144255923	Aadacl4fm1, 9430007A20Rik, Aadacl4, Gm1034; AADACL4 family member 1	Aadacl4fm1
mmu:627085	CDS	4:complement(144281570..144291704)	Aadacl4fm2, Gm13124; AADACL4 family member 2	Aadacl4fm2
mmu:435815	CDS	4:144340277..144349968	Aadacl4, Gm13177; arylacetamide deacetylase like 4	Aadacl4
mmu:230890	CDS	4:complement(144396507..144412938)	Aadacl4fm4, Gm436; AADACL4 family member 4	Aadacl4fm4
mmu:546849	CDS	4:complement(144429716..144448062)	AAdacl4fm3, Gm13178, Gm437; AADACL4 family member 3	AAdacl4fm3
mmu:115490066	ncRNA	4:complement(144492197..144492362)	Gm25938; predicted gene, 25938	Gm25938
mmu:329993	CDS	4:complement(144503774..144513153)	Aadacl4fm5, Gm438; AADACL4 family member 5	Aadacl4fm5
mmu:230895	CDS	4:complement(144597619..144921598)	Vps13d; vacuolar protein sorting 13D	Vps13d
mmu:20148	CDS	4:144618712..144654214	Dhrs3, Rsdr1, retSDR1; dehydrogenase/reductase 3	Dhrs3
mmu:21938	CDS	4:complement(144938938..144973453)	Tnfrsf1b, CD120b, TNF-R-II, TNF-R2, TNF-R75, TNF-alphaR2, TNFBR, TNFR80, TNFRII, TNFalpha-R2, Tnfr-1, Tnfr2, p75; tumor necrosis factor receptor superfamily, member 1b	Tnfrsf1b
